Date : 2023-11-01 14:03:37
Directory : c:\Users\Karl\Documents\My Games\Terraria\tModLoader\ModSources\ChargerClass\Content
Total : 281 files,  11652 codes, 106 comments, 1532 blanks, all 13290 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        281 |     11,652 |        106 |      1,532 |     13,290 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                         |        281 |     11,652 |        106 |      1,532 |     13,290 |
| Buffs                                                                                                                                     |         16 |        260 |          0 |         30 |        290 |
| DamageClasses                                                                                                                             |          1 |         14 |          0 |          4 |         18 |
| Dusts                                                                                                                                     |          1 |         24 |          0 |          5 |         29 |
| Items                                                                                                                                     |        205 |      8,555 |         51 |      1,132 |      9,738 |
| Items (Files)                                                                                                                             |         15 |        466 |          0 |         51 |        517 |
| Items\Acessories                                                                                                                          |         27 |      1,141 |          0 |         93 |      1,234 |
| Items\Ammo                                                                                                                                |         54 |      2,010 |          0 |        244 |      2,254 |
| Items\Ammo (Files)                                                                                                                        |          8 |        262 |          0 |         45 |        307 |
| Items\Ammo\Darts                                                                                                                          |         41 |      1,563 |          0 |        168 |      1,731 |
| Items\Ammo\Darts (Files)                                                                                                                  |          2 |        172 |          0 |         35 |        207 |
| Items\Ammo\Darts\Payloads                                                                                                                 |         13 |        459 |          0 |         40 |        499 |
| Items\Ammo\Darts\Tails                                                                                                                    |         13 |        526 |          0 |         52 |        578 |
| Items\Ammo\Darts\Tips                                                                                                                     |         13 |        406 |          0 |         41 |        447 |
| Items\Ammo\Rocks                                                                                                                          |          5 |        185 |          0 |         31 |        216 |
| Items\Armor                                                                                                                               |         22 |        938 |         44 |        133 |      1,115 |
| Items\Armor (Files)                                                                                                                       |          9 |        398 |         18 |         55 |        471 |
| Items\Armor\ChaosArmor                                                                                                                    |          3 |        126 |          6 |         16 |        148 |
| Items\Armor\ElectrudiumArmor                                                                                                              |          3 |        109 |          6 |         15 |        130 |
