"filename", "language", "Markdown", "C#", "JSON", "XML", "comment", "blank", "total"
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\.config\dotnet-tools.json", "JSON", 0, 0, 13, 0, 0, 0, 13
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\ChargerClass.cs", "C#", 0, 30, 0, 0, 1, 4, 35
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\ChargerClass.csproj", "XML", 0, 0, 0, 9, 0, 1, 10
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\Configs\Config.cs", "C#", 0, 13, 0, 0, 3, 5, 21
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\DrawLayers\AnimatedDrawLayer.cs", "C#", 0, 57, 0, 0, 1, 16, 74
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\DrawLayers\BloontoniumBlasterDrawLayer.cs", "C#", 0, 40, 0, 0, 0, 7, 47
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\DrawLayers\CentrifugalGunDrawLayer.cs", "C#", 0, 40, 0, 0, 0, 7, 47
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\DrawLayers\DartlingGunDrawLayer.cs", "C#", 0, 40, 0, 0, 0, 7, 47
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\DrawLayers\HydraRocketLauncherDrawLayer.cs", "C#", 0, 40, 0, 0, 0, 7, 47
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\DrawLayers\LaserDartlingGunDrawLayer.cs", "C#", 0, 40, 0, 0, 0, 7, 47
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\DrawLayers\PremeCalamariDrawLayer.cs", "C#", 0, 28, 0, 0, 0, 4, 32
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\DrawLayers\RayOfBloonDrawLayer.cs", "C#", 0, 40, 0, 0, 0, 7, 47
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\DrawLayers\SupremeCalamariDrawLayer.cs", "C#", 0, 33, 0, 0, 0, 5, 38
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\Extensions\Explosions.cs", "C#", 0, 73, 0, 0, 0, 5, 78
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\Extensions\Targeting.cs", "C#", 0, 77, 0, 0, 0, 4, 81
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\GlobalNPCs\ModGlobalNPC.cs", "C#", 0, 171, 0, 0, 1, 6, 178
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\GlobalNPCs\ModInstanceNPC.cs", "C#", 0, 177, 0, 0, 1, 11, 189
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\GlobalProjectiles\ChargerProjectle.cs", "C#", 0, 205, 0, 0, 1, 12, 218
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\ItemDropRules\DropConditions\BlueChargeDropCondition.cs", "C#", 0, 17, 0, 0, 0, 7, 24
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\ItemDropRules\DropConditions\ChargeDropCondition.cs", "C#", 0, 17, 0, 0, 0, 7, 24
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\ItemDropRules\DropConditions\OrangeChargeDropCondition.cs", "C#", 0, 17, 0, 0, 0, 7, 24
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\Item\GlobalItem.cs", "C#", 0, 106, 0, 0, 0, 3, 109
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\ModSystems\ChargerClassGeneralSystem.cs", "C#", 0, 106, 0, 0, 3, 22, 131
"c:\Program Files (x86)\Steam\steamapps\common\tModLoader\My Games\Terraria\tModLoader\ModSources\ChargerClass\Common\ModSystems\ChargerClassOreSystem.cs", "C#", 0, 49, 0, 0, 6, 13, 68
